SI max,utilization web,utilization web CI95
10,0.8197439489329366,0.0065721400818353
20,0.9058236839838292,0.006429173991374
30,0.9427288844675488,0.0060846190315043
40,0.9619099254640284,0.0056945596679974
50,0.9728218126253116,0.0051225397557412
60,0.9787714883437584,0.0046659106007034
70,0.981838514670098,0.0045745894840937
80,0.9831913837167132,0.0044238129717851
90,0.983757266404182,0.004330916585339
100,0.9844469265762216,0.0041817124836335
110,0.9846540924136148,0.0040826819835045
120,0.9846932867840535,0.0040712054755206
130,0.9849356900356888,0.0040179841992599
140,0.9850917556360956,0.0040063874062894
150,0.9850400309344162,0.0039871094762875
160,0.9848323230298828,0.004039091964081
