SI max,Spike Throughput Mean,Spike Throughput CI95
10,1.543851035385876,0.02470102552663
20,1.0104632459512854,0.0266625010806775
30,0.7849984078386603,0.029879919146082
40,0.6665451836577851,0.0301224437193932
50,0.5882435573765106,0.0313654380144937
60,0.5424344044027474,0.0325079091734253
70,0.5090936700924856,0.0330643358566797
80,0.4813915742269675,0.0339314061335389
90,0.4573932379292389,0.0345308277792484
100,0.4370463650563093,0.0349744234635162
110,0.4177410589467871,0.0351880883414671
120,0.3998054854283959,0.0350892657567121
130,0.3830909850287026,0.0347573298610186
140,0.3643945002679418,0.0345557998066991
150,0.348204232719052,0.0344091933842766
160,0.3319546201502273,0.0341440116129434
